Category_Id;Description;Broader_Category
math.AG;Algebraic Geometry;Math
math.AT;Algebraic Topology;Math
math.AP;Analysis of PDEs;Math
math.CT;Category Theory;Math
math.CA;Classical Analysis and ODEs;Math
math.CO;Combinatorics;Math
math.AC;Commutative Algebra;Math
math.CV;Complex Variables;Math
math.DG;Differential Geometry;Math
math.DS;Dynamical Systems;Math
math.FA;Functional Analysis;Math
math.GM;General Mathematics;Math
math.GN;General Topology;Math
math.GT;Geometric Topology;Math
math.GR;Group Theory;Math
math.HO;History and Overview;Math
math.IT;Information Theory;Math
math.KT;K Theory and Homology;Math
math.LO;Logic;Math
math.MP;Mathematical Physics;Math
math.MG;Metric Geometry;Math
math.NT;Number Theory;Math
math.NA;Numerical Analysis;Math
math.OA;Operator Algebras;Math
math.OC;Optimization and Control;Math
math.PR;Probability;Math
math.QA;Quantum Algebra;Math
math.RT;Representation Theory;Math
math.RA;Rings and Algebras;Math
math.SP;Spectral Theory;Math
math.ST;Statistics Theory;Math
math.SG;Symplectic Geometry;Math
astro-ph.GA;Astrophysics of Galaxies;Physics
astro-ph.CO;Cosmology and Nongalactic Astrophysics;Physics
astro-ph.EP;Earth and Planetary Astrophysics;Physics
astro-ph.HE;High Energy Astrophysical Phenomena;Physics
astro-ph.IM;Instrumentation and Methods for Astrophysics;Physics
astro-ph.SR;Solar and Stellar Astrophysics;Physics
cond-mat.dis-nn;Disordered Systems and Neural Networks;Physics
cond-mat.mtrl-sci;Materials Science;Physics
cond-mat.mes-hall;Mesoscale and Nanoscale Physics;Physics
cond-mat.other;Other Condensed Matter;Physics
cond-mat.quant-gas;Quantum Gases;Physics
cond-mat.soft;Soft Condensed Matter;Physics
cond-mat.stat-mech;Statistical Mechanics;Physics
cond-mat.str-el;Strongly Correlated Electrons;Physics
cond-mat.supr-con;Superconductivity;Physics
gr-qc;General Relativity and Quantum Cosmology;Physics
hep-ex;High Energy Physics Experiment;Physics
hep-lat;High Energy Physics Lattice;Physics
hep-ph;High Energy Physics Phenomenology;Physics
hep-th;High Energy Physics Theory;Physics
math-ph;Mathematical Physics;Physics
nlin.AO;Adaptation and Self-Organizing Systems;Physics
nlin.CG;Cellular Automata and Lattice Gases;Physics
nlin.CD;Chaotic Dynamics;Physics
nlin.SI;Exactly Solvable and Integrable Systems;Physics
nlin.PS;Pattern Formation and Solitons;Physics
nucl-ex;Nuclear Experiment;Physics
nucl-th;Nuclear Theory;Physics
physics.acc-ph;Accelerator Physics;Physics
physics.app-ph;Applied Physics;Physics
physics.ao-ph;Atmospheric and Oceanic Physics;Physics
physics.atom-ph;Atomic Physics;Physics
physics.atm-clus;Atomic and Molecular Clusters;Physics
physics.bio-ph;Biological Physics;Physics
physics.chem-ph;Chemical Physics;Physics
physics.class-ph;Classical Physics;Physics
physics.comp-ph;Computational Physics;Physics
physics.data-an;Data Analysis Statistics and Probability;Physics
physics.flu-dyn;Fluid Dynamics;Physics
physics.gen-ph;General Physics;Physics
physics.geo-ph;Geophysics;Physics
physics.hist-ph;History and Philosophy of Physics;Physics
physics.ins-det;Instrumentation and Detectors;Physics
physics.med-ph;Medical Physics;Physics
physics.optics;Optics;Physics
physics.ed-ph;Physics Education;Physics
physics.soc-ph;Physics and Society;Physics
physics.plasm-ph;Plasma Physics;Physics
physics.pop-ph;Popular Physics;Physics
physics.space-ph;Space Physics;Physics
quant-ph;Quantum Physics;Physics
cs.AI;Artificial Intelligence;Computer Science
cs.CL;Computation and Language;Computer Science
cs.CC;Computational Complexity;Computer Science
cs.CE;Computational Engineering Finance and Science;Computer Science
cs.CG;Computational Geometry;Computer Science
cs.GT;Computer Science and Game Theory;Computer Science
cs.CV;Computer Vision and Pattern Recognition;Computer Science
cs.CY;Computers and Society;Computer Science
cs.CR;Cryptography and Security;Computer Science
cs.DS;Data Structures and Algorithms;Computer Science
cs.DB;Databases;Computer Science
cs.DL;Digital Libraries;Computer Science
cs.DM;Discrete Mathematics;Computer Science
cs.DC;Distributed Parallel and Cluster Computing;Computer Science
cs.ET;Emerging Technologies;Computer Science
cs.FL;Formal Languages and Automata Theory;Computer Science
cs.GL;General Literature;Computer Science
cs.GR;Graphics;Computer Science
cs.AR;Hardware Architecture;Computer Science
cs.HC;Human-Computer Interaction;Computer Science
cs.IR;Information Retrieval;Computer Science
cs.IT;Information Theory;Computer Science
cs.LG;Learning;Computer Science
cs.LO;Logic in Computer Science;Computer Science
cs.MS;Mathematical Software;Computer Science
cs.MA;Multiagent Systems;Computer Science
cs.MM;Multimedia;Computer Science
cs.NI;Networking and Internet Architecture;Computer Science
cs.NE;Neural and Evolutionary Computing;Computer Science
cs.NA;Numerical Analysis;Computer Science
cs.OS;Operating Systems;Computer Science
cs.OH;Other Computer Science;Computer Science
cs.PF;Performance;Computer Science
cs.PL;Programming Languages;Computer Science
cs.RO;Robotics;Computer Science
cs.SI;Social and Information Networks;Computer Science
cs.SE;Software Engineering;Computer Science
cs.SD;Sound;Computer Science
cs.SC;Symbolic Computation;Computer Science
cs.SY;Systems and Control;Computer Science
q-bio.BM;Biomolecules;Quantitative Biology
q-bio.GN;Genomics;Quantitative Biology
q-bio.MN;Molecular Networks;Quantitative Biology
q-bio.SC;Subcellular Processes;Quantitative Biology
q-bio.CB;Cell Behavior;Quantitative Biology
q-bio.NC;Neurons and Cognition;Quantitative Biology
q-bio.TO;Tissues and Organs;Quantitative Biology
q-bio.PE;Populations and Evolution;Quantitative Biology
q-bio.QM;Quantitative Methods;Quantitative Biology
q-bio.OT;Other;Quantitative Biology
q-fin.PR;Pricing of Securities;Quantitative Finance
